observation_id,photo_id,position,license_code,attribution,url,original_url,width,height,retrieved_at
38034514,60390286,4,cc-by-nc-nd,"(c) alessandro longhi, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/60390286/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/60390286/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
38054646,60425270,0,cc-by-nc,"(c) willaschrlau, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60425270/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/60425270/original.jpg,2048,1625,2026-09-13T02:26:12.474594+00:00
38054646,60425300,1,cc-by-nc,"(c) willaschrlau, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60425300/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/60425300/original.jpg,2048,1530,2026-09-13T02:26:12.474594+00:00
38054646,60425308,2,cc-by-nc,"(c) willaschrlau, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60425308/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/60425308/original.jpeg,2048,1365,2026-09-13T02:26:12.474594+00:00
38110521,60523180,0,,"(c) pinesnake, all rights reserved",https://static.inaturalist.org/photos/60523180/square.jpg,https://static.inaturalist.org/photos/60523180/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
38110558,60523231,0,,"(c) pinesnake, all rights reserved",https://static.inaturalist.org/photos/60523231/square.jpg,https://static.inaturalist.org/photos/60523231/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
38117297,60534944,0,,"(c) pinesnake, all rights reserved",https://static.inaturalist.org/photos/60534944/square.jpg,https://static.inaturalist.org/photos/60534944/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
38159503,60607621,0,cc-by-nc,"(c) Babette Köhler, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60607621/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/60607621/original.jpg,2048,1536,2026-09-13T02:26:12.474594+00:00
38185461,60651571,0,cc-by-nc,"(c) smeierotto, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60651571/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/60651571/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
38185461,60651580,1,cc-by-nc,"(c) smeierotto, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60651580/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/60651580/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
38225990,60722603,0,cc-by-nc-nd,"(c) Stephen Cresswell, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/60722603/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/60722603/original.jpg,900,700,2026-09-13T02:26:12.474594+00:00
38350235,60937442,0,cc-by-nc,"(c) Maleen Mund, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60937442/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/60937442/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
38350235,60937449,1,cc-by-nc,"(c) Maleen Mund, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/60937449/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/60937449/original.jpeg,2048,1536,2026-09-13T02:26:12.474594+00:00
38545429,61277359,0,cc-by-nc,"(c) Jim Moore, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/61277359/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/61277359/original.jpg,2048,1536,2026-09-13T02:26:12.474594+00:00
38796707,61716671,0,cc-by-nc,"(c) Margherita Bandini, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/61716671/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/61716671/original.jpg,1024,768,2026-09-13T02:26:12.474594+00:00
39614299,62865190,0,,"(c) Jake Mohlmann, all rights reserved",https://static.inaturalist.org/photos/62865190/square.jpg,https://static.inaturalist.org/photos/62865190/original.jpg,2048,1440,2026-09-13T02:26:12.474594+00:00
39799562,63180374,0,cc-by-nc,"(c) Richard Guillet, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63180374/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/63180374/original.jpeg,1280,853,2026-09-13T02:26:12.474594+00:00
39862426,63280924,0,cc-by-nc,"(c) Paul Steeves, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63280924/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/63280924/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
39862426,63280939,1,cc-by-nc,"(c) Paul Steeves, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63280939/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/63280939/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
39862426,63280941,2,cc-by-nc,"(c) Paul Steeves, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63280941/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/63280941/original.jpg,2048,1366,2026-09-13T02:26:12.474594+00:00
39936848,63411754,0,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63411754/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/63411754/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
39936848,63411757,1,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63411757/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/63411757/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
39936848,63411762,2,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63411762/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/63411762/original.jpeg,2048,1365,2026-09-13T02:26:12.474594+00:00
39936848,63411770,3,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/63411770/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/63411770/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
