id,whole_body_count,whole_body_max_score,throat_count,throat_max_score,throat_portrait_count,throat_portrait_max_score,detections_json,is_target_region
10536222756,2,0.4976375102996826,2,0.1764393001794815,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.4976375102996826,""bbox_xyxy"":[79.13594818115234,357.2730712890625,505.9913330078125,892.8912963867188]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.1764393001794815,""bbox_xyxy"":[156.2438201904297,556.4244384765625,402.61639404296875,856.451904296875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.14900608360767365,""bbox_xyxy"":[152.36602783203125,560.020263671875,402.6866455078125,857.3992309570312]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.017110681161284447,""bbox_xyxy"":[95.39067077636719,0.0,309.3905334472656,141.15252685546875]}]",0
10536377623,2,0.7178831696510315,2,0.3557179570198059,1,0.011937413364648819,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.7178831696510315,""bbox_xyxy"":[330.6150207519531,74.9780044555664,1004.8966674804688,683.0]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.3557179570198059,""bbox_xyxy"":[525.4581909179688,184.78492736816406,804.5973510742188,564.9827270507812]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.08530628681182861,""bbox_xyxy"":[520.8707885742188,190.10484313964844,802.9386596679688,569.0267944335938]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.01720440573990345,""bbox_xyxy"":[23.697998046875,67.25994110107422,1020.3336791992188,683.0]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.011937413364648819,""bbox_xyxy"":[525.6259765625,178.43833923339844,811.8079223632812,574.4171752929688]}]",0
1061401807,0,,0,,0,,[],0
10628495306,3,0.26102644205093384,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.26102644205093384,""bbox_xyxy"":[110.69475555419922,270.8758239746094,713.0436401367188,526.2316284179688]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.07232888787984848,""bbox_xyxy"":[99.58965301513672,267.0973815917969,709.6278686523438,528.5578002929688]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.03970198333263397,""bbox_xyxy"":[108.296142578125,271.27203369140625,712.6701049804688,527.7485961914062]}]",0
10644985013,2,0.5325431227684021,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.5325431227684021,""bbox_xyxy"":[173.09153747558594,269.5478210449219,1123.3209228515625,651.1243896484375]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.011369219981133938,""bbox_xyxy"":[187.71298217773438,268.4609069824219,1098.8082275390625,648.4567260742188]}]",0
1065287937,0,,0,,0,,[],0
10653663964,2,0.4932904839515686,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.4932904839515686,""bbox_xyxy"":[54.21670150756836,39.36555099487305,868.5753784179688,645.3143920898438]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.01838626153767109,""bbox_xyxy"":[54.265380859375,40.589111328125,863.6015014648438,644.3536376953125]}]",0
10698719184,1,0.9449480175971985,1,0.9358077645301819,1,0.9117732048034668,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9449480175971985,""bbox_xyxy"":[1919.55908203125,512.1016845703125,4218.2421875,2312.522216796875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.9358077645301819,""bbox_xyxy"":[2193.81640625,1005.1232299804688,2881.73095703125,1958.33056640625]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.9117732048034668,""bbox_xyxy"":[2192.934814453125,1009.5636596679688,2877.8857421875,1950.9178466796875]}]",0
10698788036,1,0.9560760855674744,1,0.9238787293434143,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9560760855674744,""bbox_xyxy"":[2058.8349609375,888.2257080078125,4453.30322265625,2592.91650390625]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.9238787293434143,""bbox_xyxy"":[2297.1640625,1514.1632080078125,3062.763671875,2268.866455078125]}]",0
10698849595,2,0.9281719326972961,2,0.41142675280570984,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9281719326972961,""bbox_xyxy"":[1904.3797607421875,985.5455322265625,4031.347412109375,2372.708251953125]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.41142675280570984,""bbox_xyxy"":[2205.779541015625,1615.1312255859375,2860.61376953125,2099.08251953125]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.0390596017241478,""bbox_xyxy"":[2111.46826171875,1625.0498046875,2639.19091796875,2144.48583984375]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.01132679171860218,""bbox_xyxy"":[1905.3101806640625,988.0465698242188,4026.37890625,2380.127197265625]}]",0
