id,title,page_url,image_url,full_image_url,license,license_url,author,timestamp,width,height,size,mime,description,latitude,longitude,location_clue,resolved_location_name
152408629,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 150.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_150.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_150.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_150.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_150.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-09T05:10:06Z,4608,3072,14884249,image/jpeg,Fotos de fauna e flora durante a Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152408640,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 156.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_156.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_156.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_156.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_156.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-09T05:10:14Z,3233,2869,8509751,image/jpeg,Fotos de fauna e flora durante a Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152724447,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 333.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_333.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_333.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_333.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_333.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-16T16:05:29Z,4608,3072,11302463,image/jpeg,Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152724458,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 337.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_337.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_337.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_337.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_337.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-16T16:05:35Z,4608,3072,11240039,image/jpeg,Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152724477,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 342.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_342.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_342.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_342.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_342.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-16T16:05:46Z,4608,3072,11882185,image/jpeg,Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152725321,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 344.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_344.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_344.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_344.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_344.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-16T16:28:19Z,4608,3072,12498296,image/jpeg,Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152725335,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 350.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_350.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_350.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_350.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_350.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-16T16:28:28Z,4608,3072,10036441,image/jpeg,Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
152725339,File:Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) 353.jpg,https://commons.wikimedia.org/wiki/File:Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_(Mato_Grosso)_353.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_353.jpg/1280px-Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_353.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Excurs%C3%A3o_pelo_Rio_Paraguai_em_C%C3%A1ceres_%28Mato_Grosso%29_353.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Túllio F,2024-09-16T16:28:33Z,4608,3072,9553978,image/jpeg,Excursão pelo Rio Paraguai em Cáceres (Mato Grosso) dos wikimedistas durante o Wiki Ocupa Cáceres 2024,,,Mato Grosso,"Mato Grosso, Brazil"
115281259,File:FightingOtter01.jpg,https://commons.wikimedia.org/wiki/File:FightingOtter01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/FightingOtter01.jpg/1280px-FightingOtter01.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/FightingOtter01.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,BluesyPete,2022-02-15T17:08:49Z,3072,2048,3353125,image/jpeg,Loutre repoussant un crocodile au Pantanal - Brésil.,-16.399674,-56.627290,Pantanal,"Pantanal, Brazil"
115281262,File:FightingOtter02.jpg,https://commons.wikimedia.org/wiki/File:FightingOtter02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/FightingOtter02.jpg/1280px-FightingOtter02.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/FightingOtter02.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,BluesyPete,2022-02-15T17:08:49Z,3072,2048,3411442,image/jpeg,Loutre repoussant un crocodile au Pantanal - Brésil.,-16.399674,-56.627290,Pantanal,"Pantanal, Brazil"
